,KRW-BTC,KRW-BTC,KRW-BTC,KRW-BTC,KRW-BTC,KRW-BTC,KRW-ETH,KRW-ETH,KRW-ETH,KRW-ETH,KRW-ETH,KRW-ETH,KRW-ADA,KRW-ADA,KRW-ADA,KRW-ADA,KRW-ADA,KRW-ADA,KRW-XRP,KRW-XRP,KRW-XRP,KRW-XRP,KRW-XRP,KRW-XRP,KRW-DOT,KRW-DOT,KRW-DOT,KRW-DOT,KRW-DOT,KRW-DOT,KRW-BCH,KRW-BCH,KRW-BCH,KRW-BCH,KRW-BCH,KRW-BCH,KRW-ETC,KRW-ETC,KRW-ETC,KRW-ETC,KRW-ETC,KRW-ETC,KRW-EOS,KRW-EOS,KRW-EOS,KRW-EOS,KRW-EOS,KRW-EOS,KRW-TRX,KRW-TRX,KRW-TRX,KRW-TRX,KRW-TRX,KRW-TRX
,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value,open,high,low,close,volume,value
2017-10-15 09:00:00,6610000.0,6700000.0,6142000.0,6381000.0,7.63078273,48606365.59432,383500.0,390500.0,363000.0,377000.0,0.0515,19456.75,36.8,38.2,32.5,33.9,0.0515,1.81292,290.0,305.0,285.0,299.0,0.0514,15.1691,,,,,,,365000.0,369000.0,347500.0,353500.0,0.0515,18382.65,13850.0,14200.0,13100.0,13500.0,0.0514,698.68,,,,,,,,,,,,
2017-10-16 09:00:00,6403000.0,6527000.0,6282000.0,6491000.0,22.92663476,146271226.15592,380500.0,398500.0,371500.0,377000.0,0.0504,19287.5,33.6,34.7,32.1,32.5,0.0503,1.66899,296.0,342.0,281.0,290.0,0.0503,15.2967,,,,,,,355500.0,360500.0,348000.0,352000.0,0.0504,17836.65,13400.0,13750.0,13200.0,13350.0,0.0503,677.065,,,,,,,,,,,,
2017-10-17 09:00:00,6495000.0,6510000.0,6299000.0,6457000.0,4.24133721,27260409.19505,376500.0,377500.0,353500.0,360000.0,0.0599,22072.7,32.5,33.3,28.2,31.3,0.0593,1.82535,292.0,300.0,247.0,261.0,0.0596,16.8229,,,,,,,353500.0,483000.0,348000.0,420500.0,0.0596,23838.65,13450.0,14300.0,13200.0,13500.0,0.0593,805.035,,,,,,,,,,,,
2017-10-18 09:00:00,6413000.0,6489000.0,5876000.0,6391000.0,36.00111898,219208847.48369,361000.0,366500.0,334500.0,360500.0,81.0197,28484957.9,31.1,31.8,28.7,30.5,76.0156,2271.27987,262.0,273.0,235.0,249.0,81.0197,19832.1504,,,,,,,423500.0,434500.0,359000.0,389500.0,81.0197,30491537.45,13550.0,13650.0,12400.0,13200.0,81.0195,1041858.345,,,,,,,,,,,,
2017-10-19 09:00:00,6405000.0,6596000.0,6109000.0,6511000.0,11.95565558,76025647.17432,361500.0,365000.0,345500.0,352500.0,235.0,83045000.0,30.7,31.3,29.6,31.1,233.0,7031.1,248.0,260.0,233.0,245.0,235.0,57348.0,,,,,,,389500.0,391000.0,367500.0,379000.0,235.0,88852000.0,13250.0,13300.0,12600.0,12900.0,235.0,3041000.0,,,,,,,,,,,,
2017-10-20 09:00:00,6536000.0,6954000.0,6395000.0,6928000.0,21.97426401,145159280.71805,347000.0,356000.0,344500.0,351000.0,64.94,22798945.0,31.0,34.5,30.4,33.2,64.86,2002.562,242.0,255.0,237.0,238.0,64.93,16091.19,,,,,,,374500.0,384500.0,367500.0,371500.0,64.94,24515805.0,12800.0,13100.0,12550.0,12850.0,64.94,839390.0,,,,,,,,,,,,
2017-10-21 09:00:00,6928000.0,7253000.0,6773000.0,6874000.0,5.46210809,38250145.45411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-22 09:00:00,6858000.0,7060000.0,6709000.0,7039000.0,4.39101644,30054045.84628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-23 09:00:00,7017000.0,7100000.0,6668000.0,6971000.0,14.03934445,97052524.49132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-24 09:00:00,7034000.0,7052000.0,6350000.0,6479000.0,98.6742294,651377192.14619,351500.0,364000.0,342500.0,348500.0,2.19,775110.0,31.3,33.8,31.0,31.8,2.11,68.407,233.0,252.0,227.0,239.0,2.17,520.49,,,,,,,372000.0,393000.0,361000.0,380000.0,2.17,824985.0,12450.0,12800.0,12150.0,12250.0,2.17,26947.5,,,,,,,,,,,,
2017-10-25 09:00:00,6479000.0,6644000.0,6212000.0,6643000.0,108.36397361,695968675.01792,349500.0,352000.0,333000.0,344500.0,2.34,803505.0,31.9,32.5,30.5,31.9,2.31,72.166,241.0,241.0,228.0,233.0,2.33,543.83,,,,,,,379000.0,388500.0,367500.0,382000.0,2.32,878095.0,12250.0,12400.0,11700.0,12100.0,2.33,28035.5,,,,,,,,,,,,
2017-10-26 09:00:00,6643000.0,6873000.0,6534000.0,6811000.0,428.50851968,2881467621.80027,343000.0,349500.0,336500.0,339500.0,2.34,799310.0,31.8,32.2,30.5,31.4,2.33,72.54,233.0,238.0,229.0,231.0,2.34,545.51,,,,,,,382000.0,406000.0,378500.0,387000.0,2.34,903950.0,12100.0,12300.0,11850.0,11850.0,2.34,28141.5,,,,,,,,,,,,
2017-10-27 09:00:00,6765000.0,6950000.0,6633000.0,6710000.0,431.20412963,2917092203.66689,343000.0,347500.0,339000.0,343500.0,2.35,807050.0,31.2,31.6,29.8,30.8,2.32,71.114,233.0,235.0,229.0,233.0,2.34,544.77,,,,,,,390500.0,434500.0,385000.0,423000.0,2.35,963545.0,11950.0,12150.0,11800.0,11950.0,2.35,28082.0,,,,,,,,,,,,
2017-10-28 09:00:00,6708000.0,6800000.0,6600000.0,6715000.0,404.19563617,2708305312.92229,344500.0,348000.0,339000.0,345500.0,2.17,743845.0,30.7,31.1,29.8,30.3,2.14,65.068,232.0,235.0,230.0,232.0,2.17,504.63,,,,,,,423000.0,493000.0,423000.0,487500.0,2.16,967555.0,11950.0,12300.0,11800.0,12100.0,2.17,25970.0,,,,,,,,,,,,
2017-10-29 09:00:00,6715000.0,7030000.0,6588000.0,6961000.0,656.27989369,4413173510.25254,344500.0,360000.0,336500.0,342000.0,2.35,812775.0,30.4,33.0,29.8,32.4,2.3,72.643,232.0,235.0,224.0,228.0,2.36,542.23,,,,,,,488000.0,613000.0,468500.0,505000.0,2.34,1216105.0,12100.0,12850.0,11950.0,12150.0,2.36,29163.5,,,,,,,,,,,,
2017-10-30 09:00:00,6961000.0,7007000.0,6809000.0,6964000.0,521.84628417,3621429303.55395,343000.0,353500.0,342500.0,349000.0,3.52,1225495.0,32.2,32.8,31.1,32.4,3.51,112.143,229.0,232.0,227.0,229.0,3.52,806.44,,,,,,,514000.0,543000.0,470500.0,507000.0,3.52,1784420.0,12250.0,12400.0,12100.0,12200.0,3.52,43155.5,,,,,,,,,,,,
2017-10-31 09:00:00,6965000.0,7479000.0,6965000.0,7422000.0,1170.54812455,8331387759.05405,348500.0,398500.0,343000.0,349500.0,2.0,700937.075,32.5,35.2,32.1,35.1,1.99,66.406,229.0,232.0,224.0,229.0,2.0,458.14,,,,,,,509000.0,517000.0,480000.0,501000.0,2.0,1011955.0,12300.0,12450.0,11850.0,12050.0,2.0,24375.5,,,,,,,,,,,,
2017-11-01 09:00:00,7422000.0,7799000.0,7256000.0,7798000.0,1164.45059943,8657129768.27674,350000.0,353000.0,328500.0,333500.0,2.22,760380.0,32.2,33.4,26.5,26.5,2.22,66.404,229.0,231.0,216.0,219.0,2.23,500.22,,,,,,,501000.0,628000.0,500000.0,613000.0,2.22,1216970.0,12000.0,12150.0,11600.0,11650.0,2.23,26609.0,,,,,,,,,,,,
2017-11-02 09:00:00,7790000.0,8596000.0,7500000.0,8217000.0,1806.67768011,14621738292.19718,333500.0,341500.0,319500.0,332000.0,2.31,766765.0,26.6,28.9,21.3,24.9,2.31,61.016,220.0,241.0,207.0,236.0,2.31,508.33,,,,,,,611000.0,698000.0,580000.0,665000.0,2.31,1462460.0,11700.0,12000.0,11100.0,11700.0,2.31,26701.5,,,,,,,,,,,,
2017-11-03 09:00:00,8219000.0,8478000.0,8000000.0,8143000.0,1025.40458685,8480692936.98769,335500.0,352000.0,327500.0,348500.0,2.31,779485.0,24.9,26.5,22.9,25.9,2.31,57.345,236.0,300.0,226.0,235.0,2.31,544.69,,,,,,,670000.0,773000.0,661000.0,708000.0,2.31,1699760.0,11650.0,14450.0,11500.0,14450.0,2.31,28234.5,,,,,,,,,,,,
2017-11-04 09:00:00,8136000.0,8400000.0,7560000.0,8346000.0,881.59851324,7137573137.46992,347000.0,348500.0,325500.0,340000.0,2.31,779360.0,25.9,26.8,24.3,25.0,2.31,59.473,235.0,236.0,223.0,227.0,2.31,528.4,,,,,,,717000.0,718000.0,627000.0,697000.0,2.31,1601430.0,14300.0,14300.0,12700.0,13300.0,2.31,30708.5,,,,,,,,,,,,
2017-11-05 09:00:00,8345000.0,8620000.0,8280000.0,8453000.0,993.49954201,8409963563.14026,339500.0,340500.0,332000.0,336000.0,1.5,505950.0,25.0,25.9,24.5,24.7,1.5,37.797,227.0,231.0,225.0,228.0,1.5,342.01,,,,,,,693000.0,712000.0,649000.0,652000.0,1.5,1025110.0,13250.0,15850.0,13200.0,15250.0,1.5,20547.5,,,,,,,,,,,,
2017-11-06 09:00:00,8454000.0,8480000.0,8030000.0,8060000.0,1914.09607157,15924418602.8134,340000.0,353200.0,292500.0,345750.0,118.79046062,40102331.892955,24.0,25.7,23.9,25.7,0.61,14.871,231.0,239.0,228.0,235.0,0.72,165.84,,,,,,,725000.0,741600.0,688100.0,697500.0,1.51,1080420.0,15700.0,17440.0,15450.0,16310.0,1.51,24663.8,,,,,,,,,,,,
2017-11-07 09:00:00,8060000.0,8413000.0,8050000.0,8243000.0,1858.95589505,15264884249.39165,349150.0,356200.0,335000.0,338200.0,7008.22572233,2401561611.0961633,25.4,27.3,24.8,25.6,5.56,142.426,233.0,239.0,230.0,239.0,5.6,1305.87,,,,,,,700700.0,711400.0,683500.0,706800.0,5.65,3945256.0,16590.0,16870.0,15290.0,15680.0,5.64,90408.9,,,,,,,,,,,,
2017-11-08 09:00:00,8244000.0,8639000.0,8060000.0,8339000.0,2280.72049163,18964680864.9587,338200.0,359500.0,333000.0,346000.0,11149.34168822,3825702860.201195,25.4,30.3,24.8,28.1,5.89,155.689,239.0,248.0,231.0,243.0,5.86,1385.43,,,,,,,703800.0,727900.0,617200.0,690700.0,5.85,4120857.0,15700.0,16160.0,15190.0,15610.0,5.85,91575.1,,,,,,,,,,,,
